,Name,ISO,Score,Status,Last Update,Source
112,Madagascar,MA,2.0,Exercise Increased Caution,2019-07-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/madagascar-travel-advisory.html
113,Malawi,MI,2.0,Exercise Increased Caution,2019-08-22,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/malawi-travel-advisory.html
114,Malaysia,MY,1.0,Exercise Normal Precautions,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/malaysia-travel-advisory.html
115,Maldives,MV,2.0,Exercise Increased Caution,2019-05-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/maldives-travel-advisory.html
116,Mali,ML,4.0,Do Not Travel,2019-12-23,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mali-travel-advisory.html
117,Malta,MT,1.0,Exercise Normal Precautions,2019-07-01,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/malta-travel-advisory.html
118,Marshall Islands,RM,1.0,Exercise Normal Precautions,2020-03-03,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/marshall-islands-travel-advisory.html
119,Mauritania,MR,2.0,Exercise Increased Caution,2019-12-26,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mauritania-travel-advisory.html
120,Mauritius,MP,1.0,Exercise Normal Precautions,2019-12-18,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mauritius-travel-advisory.html
121,Mexico,MX,2.0,Exercise Increased Caution,2019-12-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mexico-travel-advisory.html
122,Micronesia,FM,1.0,Exercise Normal Precautions,2020-01-29,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/micronesia-travel-advisory.html
123,Moldova,MD,1.0,Exercise Normal Precautions,2019-07-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/moldova-travel-advisory.html
124,Mongolia,MG,3.0,Reconsider Travel,2020-02-26,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mongolia-travel-advisory.html
125,Montenegro,MJ,1.0,Exercise Normal Precautions,2020-01-15,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/montenegro-travel-advisory.html
126,Montserrat,MH,1.0,Exercise Normal Precautions,2019-02-26,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/montserrat-travel-advisory.html
127,Morocco,MO,2.0,Exercise Increased Caution,2019-04-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/morocco-travel-advisory.html
128,Mozambique,MZ,1.0,Exercise Normal Precautions,2019-02-06,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mozambique-travel-advisory.html
129,Namibia,WA,1.0,Exercise Normal Precautions,2019-12-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/namibia-travel-advisory.html
130,Nauru,NR,1.0,Exercise Normal Precautions,2020-03-11,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nauru-travel-advisory.html
131,Nepal,NP,2.0,Exercise Increased Caution,2020-01-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nepal-travel-advisory.html
132,Netherlands,NL,2.0,Exercise Increased Caution,2019-07-19,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/netherlands-travel-advisory.html
133,New Caledonia,NC,1.0,Exercise Normal Precautions,2019-04-01,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/new-caledonia-travel-advisory.html
134,New Zealand,NZ,1.0,Exercise Normal Precautions,2019-11-21,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/new-zealand-travel-advisory.html
135,Nicaragua,NU,3.0,Reconsider Travel,2019-04-03,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nicaragua-travel-advisory.html
136,Niger,NG,3.0,Reconsider Travel,2019-12-19,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/niger-travel-advisory.html
137,Nigeria,NI,3.0,Reconsider Travel,2019-10-29,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nigeria-travel-advisory.html
138,North Korea,KN,4.0,Do Not Travel,2019-07-10,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/north-korea-travel-advisory.html
139,North Macedonia,MK,1.0,Exercise Normal Precautions,2019-12-23,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/north-macedonia-travel-advisory.html
140,Norway,NO,1.0,Exercise Normal Precautions,2019-09-13,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/norway-travel-advisory.html
